phi,k_s,rho_s,c_ps,gamma,ra,q_wm2_nominal,q_wm2_actual,q_Wcm2,heat_flux_mismatch,material,seed,log_q,log_ra,r_d,C1,C3,bubble_vol_factor,q_star,delta_T,log_delta_T,HTC,log_HTC,T_wall_ss,T_wall_std,n_sites_ss,q_out_ss,q_mc_ss,q_me_ss,q_nc_ss,q_rad_ss,br_ss,sim_name
10,1.4,2330,700,1.0576212892968957,1e-08,10000,10000,1,FALSE,SiO2,0,4.342945178152237e-11,-8,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.007421541,5.606164550781273,0.748665841,1783.7507103865519,3.251334159082422,378.75616455078125,0.072822854,3,9419.885742,12.062317848205566,1.4309488534927368,8831.333984,575.0582275390625,2.0373247480165446e-06,SiO2_phi10_q10000_r1e-08_seed0
10,1.4,2330,700,1.0576212892968957,5e-08,10000,10000,1,FALSE,SiO2,0,4.342945178152237e-11,-7.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.007421541,5.606134033203148,0.748663477,1783.7604204204786,3.251336523203513,378.7561340332031,0.072827108,3,9419.850586,12.065284729003906,1.4319682121276855,8831.294922,575.0581055,2.0390702957229223e-06,SiO2_phi10_q10000_r5e-08_seed0
10,1.4,2330,700,1.0576212892968957,1e-07,10000,10000,1,FALSE,SiO2,0,4.342945178152237e-11,-7,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.007421541,5.606134033203148,0.748663477,1783.7604204204786,3.251336523203513,378.7561340332031,0.072833553,3,9419.452148,11.712450981140137,1.4366929531097412,8831.244141,575.0578002929688,2.046128884103382e-06,SiO2_phi10_q10000_r1e-07_seed0
10,1.4,2330,700,1.0576212892968957,5e-07,10000,10000,1,FALSE,SiO2,0,4.342945178152237e-11,-6.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.007421541,5.605950927734398,0.7486492917996789,1783.8186828441296,3.251350708200321,378.7559509277344,0.072807036,3.2561458333333335,9420.344727,12.965851783752441,1.5609692335128784,8830.762695,575.0558471679688,2.217305564045091e-06,SiO2_phi10_q10000_r5e-07_seed0
10,1.4,2330,700,1.0576212892968957,1e-06,10000,10000,1,FALSE,SiO2,0,4.342945178152237e-11,-6,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.007421541,5.605126953125023,0.7485854535799239,1784.0809108569265,3.251414546420076,378.755127,0.072559163,4,9421.882813,15.964827537536621,1.9223604202270508,8828.947266,575.0477905273438,2.739203182500205e-06,SiO2_phi10_q10000_r1e-06_seed0
10,1.4,2330,700,1.0576212892968957,5e-06,10000,10000,1,FALSE,SiO2,0,4.342945178152237e-11,-5.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.007421541,5.604394531250023,0.7485287006168944,1784.3140671557194,3.2514712993831054,378.7543945,0.072465077,4.523645833333333,9422.723633,18.116077423095703,2.1699299812316895,8827.396484,575.0408325195312,3.085476237174589e-06,SiO2_phi10_q10000_r5e-06_seed0
10,1.4,2330,700,1.0576212892968957,1e-08,50000,50000,5,FALSE,SiO2,0,0.6989700043447047,-8,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.037107707,14.658624267578148,1.1660932130721386,3410.9612940001252,3.532876791,387.8086242675781,0.6884702444076538,54.50045440775523,34147.16406,3977.286865234375,180.31166076660156,29322.00195,667.5643920898438,3.684844705276191e-05,SiO2_phi10_q50000_r1e-08_seed0
10,1.4,2330,700,1.0576212892968957,5e-08,50000,50000,5,FALSE,SiO2,0,0.6989700043447047,-7.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.037107707,14.655816650390648,1.1660100231754615,3411.6147324118756,3.532959981160557,387.8058166503906,0.6874566078186035,54.93577703726144,34172.73438,4009.004883,181.6450195,29314.55273,667.5346069335938,3.7141478969715536e-05,SiO2_phi10_q50000_r5e-08_seed0
10,1.4,2330,700,1.0576212892968957,1e-07,50000,50000,5,FALSE,SiO2,0,0.6989700043447047,-7,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.037107707,14.652246093750023,1.1659042043045553,3412.4460973480177,3.5330658000314634,387.8022461,0.6861788034439087,55.49954559224477,34201.42578,4045.431884765625,183.37545776367188,29305.12305,667.4970703,3.752007251023315e-05,SiO2_phi10_q50000_r1e-07_seed0
10,1.4,2330,700,1.0576212892968957,5e-07,50000,50000,5,FALSE,SiO2,0,0.6989700043447047,-6.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.037107707,14.620751953125023,1.1649697091946796,3419.796749189296,3.534000295141339,387.770752,0.6748841404914856,60.41532868827628,34468.92969,4381.577637,198.77256774902344,29221.41406,667.1629638671875,4.084033935214393e-05,SiO2_phi10_q50000_r5e-07_seed0
10,1.4,2330,700,1.0576212892968957,1e-06,50000,50000,5,FALSE,SiO2,0,0.6989700043447047,-6,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.037107707,14.572839355468773,1.1635441774580442,3431.0403607953326,3.5354258268779746,387.72283935546875,0.658056378,67.93214177521963,34840.57422,4857.66748,221.84750366210938,29094.40234,666.6558837890625,4.591953620547429e-05,SiO2_phi10_q50000_r1e-06_seed0
10,1.4,2330,700,1.0576212892968957,5e-06,50000,50000,5,FALSE,SiO2,0,0.6989700043447047,-5.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.037107707,14.506921386718773,1.1615752576052403,3446.630657678719,3.537394746730779,387.65692138671875,0.6353638768196106,78.34413814,35373.79297,5534.658691,253.4463348388672,28919.73438,665.9581909179688,5.2961036999477074e-05,SiO2_phi10_q50000_r5e-06_seed0
10,1.4,2330,700,1.0576212892968957,1e-08,100000,100000,10,FALSE,SiO2,0,1.000000000004343,-8,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.074215413,22.313653564453148,1.3485706860602513,4481.561018734529,3.6514293139397487,395.4636535644531,0.024057554081082344,191.12577777777778,99590.5,48047.58984,1439.9324951171875,49351.98047,750.9915771484375,0.000127077,SiO2_phi10_q100000_r1e-08_seed0
10,1.4,2330,700,1.0576212892968957,5e-08,100000,100000,10,FALSE,SiO2,0,1.000000000004343,-7.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.074215413,22.285119628906273,1.348014969767693,4487.299223213005,3.6519850302323067,395.43511962890625,0.020307540893554688,191.90311111111112,99652.4375,48183.27344,1445.8065185546875,49272.69141,750.6715087890625,0.000127431,SiO2_phi10_q100000_r5e-08_seed0
10,1.4,2330,700,1.0576212892968957,1e-07,100000,100000,10,FALSE,SiO2,0,1.000000000004343,-7,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.074215413,22.250451660156273,1.3473388311157235,4494.290791367139,3.6526611688842765,395.40045166015625,0.013336243107914925,193.05044444444445,99773.65625,48392.875,1454.437012,49176.05859,750.2827148,0.000127993,SiO2_phi10_q100000_r1e-07_seed0
10,1.4,2330,700,1.0576212892968957,5e-07,100000,100000,10,FALSE,SiO2,0,1.000000000004343,-6.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.074215413,21.992395019531273,1.3422725275475784,4547.0263657591995,3.6577274724524216,395.14239501953125,0.027676325291395187,204.37,99504.07813,48829.64844,1484.720458984375,48442.31641,747.3911743164062,0.000136529,SiO2_phi10_q100000_r5e-07_seed0
10,1.4,2330,700,1.0576212892968957,1e-06,100000,100000,10,FALSE,SiO2,0,1.000000000004343,-6,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.074215413,21.610070800781273,1.334656189758681,4627.472113436328,3.665343810241319,394.76007080078125,0.022696562111377716,220.31644444444444,99596.28906,49940.46484,1545.4197998046875,47367.28906,743.1175537109375,0.000147331,SiO2_phi10_q100000_r1e-06_seed0
10,1.4,2330,700,1.0576212892968957,5e-06,100000,100000,10,FALSE,SiO2,0,1.000000000004343,-5.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.074215413,21.117822265625023,1.3246491303965195,4735.336756895482,3.6753508696034802,394.2678223,0.007438213,240.55244444444443,99880.82813,51515.59766,1631.073974609375,45996.52344,737.6336669921875,0.000160022,SiO2_phi10_q100000_r5e-06_seed0
10,1.4,2330,700,1.0576212892968957,1e-08,250000,250000,25,FALSE,SiO2,0,1.3979400086737748,-8,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.18553853301361334,30.843774414062523,1.489167518111058,8105.363391777958,3.9087724905609798,403.9937744140625,0.004109798,256,250063.2813,171650.5469,3718.840087890625,73844.04688,849.8553466796875,0.000164232,SiO2_phi10_q250000_r1e-08_seed0
10,1.4,2330,700,1.0576212892968957,5e-08,250000,250000,25,FALSE,SiO2,0,1.3979400086737748,-7.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.18553853301361334,30.843896484375023,1.4891692369136114,8105.331313332789,3.908770771758426,403.9938965,0.005116162,256,250085.6406,171672.4844,3718.882813,73844.41406,849.8569336,0.000164234,SiO2_phi10_q250000_r5e-08_seed0
10,1.4,2330,700,1.0576212892968957,1e-07,250000,250000,25,FALSE,SiO2,0,1.3979400086737748,-7,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.18553853301361334,30.843652343750023,1.4891657993017022,8105.395470477041,3.9087742093703355,403.9936523,0.00464993,256,250014.7344,171602.1875,3719.206787109375,73843.47656,849.8533935546875,0.000164253,SiO2_phi10_q250000_r1e-07_seed0
